Name,Address,Facilities,Avg_price_per_night,Rating
Axor Hotels And Suites,"Lekki, Lagos - Plot 16/17 Sule Olusesi Road, Beside Conservation ...",RestaurantPool,"₦20,000avg/night",7.5 Very GoodFrom 37 reviews
D'Island Hotel ,"Ajah, Lagos - 80, Addo Road Ajah, Akins Bus-Stop, Lekki-Ajah",InternetRestaurantBar,"₦7,000avg/night",7.8 Very GoodFrom 12 reviews
Silver Grandeur Hotel,"Ajao Estate, Lagos - No. 4 Abgor Close Off Osolo Way.",InternetRestaurantBar,"₦9,800avg/night",7.7 Very GoodFrom 123 reviews
Lagos Airport Hotel,"Ikeja, Lagos - 111 Obafemi Awolowo Way Ikeja",,"₦25,500avg/night",6.3 Very GoodFrom 46 reviews
Preserve Apartment And Suite,"Lekki Phase 1, Lagos - 14, Babatunde Dabiri Street",Internet,"₦20,000avg/night",7.7 Very GoodFrom 18 reviews
Hotel Bon Voyage,"Victoria Island, Lagos - 57A, Marinho Drive, Off Ajose Adeogun Street",InternetRestaurantPoolBar,"₦35,000avg/night",8.6 ExcellentFrom 14 reviews
Villa Angelia Victoria Island ,"Victoria Island, Lagos - 20 Oju Olobun Street, Off Bishop Oluwole Street, V...",InternetRestaurantBarGym,"₦20,000avg/night",7.2 Very GoodFrom 44 reviews
City View Hotel Ltd.,"Ikeja, Lagos - 1 Taiwo Close Off Kudirat Abiola Way Oregun",InternetRestaurantBar,"₦9,200avg/night",7.2 Very GoodFrom 39 reviews
Easy Homes Hotels,"Surulere, Lagos - 33 Eric Moore Close Off Eric Moore Road",RestaurantBar,"₦8,000avg/night",7.0 Very GoodFrom 23 reviews
Peaceland Hotels Limited,"Yaba , Lagos - 1 Tokunboh Street, Sabo, Yaba. ",Restaurant,"₦9,000avg/night",7.2 Very GoodFrom 12 reviews
Temple Cottage Hotel,"Victoria Island, Lagos - Plot 323 Akin Ogunlewe Street Victoria Island Lago...",InternetRestaurantBar,"₦26,000avg/night",9.1 ExcellentFrom 3 reviews
The Blowfish Hotel,"Victoria Island, Lagos - No. 20 Oju Olobun Street, Off Idejo Street, Victor...",InternetRestaurantPoolBar,"₦55,000avg/night",8.6 ExcellentFrom 16 reviews
Msquare Wing A Formerly (BlueSpring Hotels),"Ikeja, Lagos - 34B Remi Fani Kayode Avenue, GRA",Internet,"₦21,500avg/night",8.1 ExcellentFrom 57 reviews
Kings Celia Hotel And Suite,"Yaba, Lagos - No 8 Jibowu Street ",RestaurantPoolBar,"₦20,000avg/night",8.0 ExcellentFrom 9 reviews
Lantano Cottage,"Ikeja, Lagos - 4, Oduduwa Crescent GRA Ikeja.",RestaurantBar,"₦15,000avg/night",8.8 ExcellentFrom 10 reviews
Pelican International Hotel,"Lekki, Lagos - By Chevron Roundabout, Chevy Estate, Lekki Lagos",InternetRestaurantPoolBarGym,"₦15,000avg/night",7.8 Very GoodFrom 25 reviews
TheoDawn Hotels( Formerly Suite 29),"Ikeja, Lagos - 29 Oluwaleyimu Street Off Allen Avenue",InternetBar,"₦9,500avg/night",6.3 Very GoodFrom 13 reviews
MarcoPolo Hotel ,"Lekki, Lagos - 4, Yeni Crescent, Chevy View Estate, Opposite Chev...",InternetRestaurantPoolBarGym,"₦25,000avg/night",7.6 Very GoodFrom 6 reviews
Coronia Hotel,"Ajao Estate, Lagos - No 2 In A Jegede Close Ajao Estate Lagos",InternetRestaurantPoolBarGym,"₦20,000avg/night",7.2 Very GoodFrom 6 reviews
Festival Hotel Festac Lagos (Formerly Golden Tulip Festac Lagos),"Festac, Lagos - Amuwo Odofin Mile 2 Lagos, P.M.B 031",InternetRestaurantBar,"₦27,200avg/night",7.9 Very GoodFrom 24 reviews
Libra Hotels Ltd.,"Ikeja, Lagos - 1 Ramonu Oyedele Street,by Total Filling Station,O...",Restaurant,"₦5,000avg/night",6.1 Very GoodFrom 24 reviews
Rita Lori Hotels Surulere,"Surulere, Lagos - 1-4 Taoridi Street, Off Babs Animashaun Road",RestaurantPoolBarGym,"₦15,500avg/night",7.1 Very GoodFrom 37 reviews
Westwood Hotel Ikoyi,"Ikoyi, Lagos - 22 Awolowo Road Ikoyi",InternetRestaurantBarGym,"₦30,000avg/night",7.4 Very GoodFrom 28 reviews
